downloads,date,package
1,2016-01-22,shiny
1,2016-01-24,shiny
2,2016-01-26,shiny
23,2016-01-27,shiny
3,2016-01-28,shiny
1,2016-01-29,shiny
2,2016-01-30,shiny
1,2016-01-31,shiny
2,2016-02-01,shiny
4,2016-02-02,shiny
2,2016-02-03,shiny
3,2016-02-04,shiny
5,2016-02-05,shiny
2,2016-02-06,shiny
1,2016-02-07,shiny
39,2016-02-08,shiny
1,2016-02-09,shiny
17,2016-02-10,shiny
2,2016-02-11,shiny
3,2016-02-12,shiny
2,2016-02-13,shiny
1,2016-02-14,shiny
2,2016-02-15,shiny
2,2016-02-16,shiny
3,2016-02-17,shiny
6,2016-02-19,shiny
26,2016-02-22,shiny
4,2016-02-23,shiny
2,2016-02-24,shiny
3,2016-02-25,shiny
2,2016-02-26,shiny
4,2016-02-27,shiny
1,2016-02-28,shiny
3,2016-02-29,shiny
14,2016-03-01,shiny
31,2016-03-02,shiny
1,2016-03-03,shiny
2,2016-03-04,shiny
4,2016-03-05,shiny
4,2016-05-22,shiny
7,2016-05-23,shiny
5,2016-05-24,shiny
7,2016-05-25,shiny
4,2016-05-26,shiny
7,2016-05-27,shiny
3,2016-05-28,shiny
2,2016-05-29,shiny
3,2016-05-30,shiny
7,2016-05-31,shiny
6,2016-06-01,shiny
6,2016-06-02,shiny
7,2016-06-03,shiny
5,2016-06-04,shiny
2,2016-06-05,shiny
1,2016-06-06,shiny
5,2016-06-07,shiny
5,2016-06-08,shiny
5,2016-06-09,shiny
3,2016-06-10,shiny
5,2016-06-11,shiny
4,2016-06-12,shiny
8,2016-06-13,shiny
11,2016-06-14,shiny
2,2016-06-15,shiny
7,2016-06-16,shiny
6,2016-06-17,shiny
5,2016-06-18,shiny
1,2016-06-19,shiny
3,2016-06-20,shiny
2,2016-06-21,shiny
6,2016-06-22,shiny
6,2016-06-23,shiny
6,2016-06-24,shiny
3,2016-06-25,shiny
2,2016-06-26,shiny
1,2016-06-27,shiny
2,2016-06-28,shiny
6,2016-06-29,shiny
5,2016-06-30,shiny
5,2016-07-01,shiny
5,2016-07-02,shiny
4,2016-07-03,shiny
9,2016-07-04,shiny
13,2016-07-05,shiny
16,2016-07-06,shiny
12,2016-07-07,shiny
15,2016-07-08,shiny
15,2016-07-09,shiny
13,2016-07-10,shiny
16,2016-07-11,shiny
16,2016-07-12,shiny
17,2016-07-13,shiny
16,2016-07-14,shiny
14,2016-07-15,shiny
16,2016-07-16,shiny
13,2016-07-17,shiny
16,2016-07-18,shiny
17,2016-07-19,shiny
19,2016-07-20,shiny
17,2016-07-21,shiny
16,2016-07-22,shiny
14,2016-07-23,shiny
14,2016-07-24,shiny
13,2016-07-25,shiny
15,2016-07-26,shiny
19,2016-07-27,shiny
22,2016-07-28,shiny
19,2016-07-29,shiny
15,2016-07-30,shiny
16,2016-07-31,shiny
15,2016-08-01,shiny
20,2016-08-02,shiny
16,2016-08-03,shiny
17,2016-08-04,shiny
19,2016-08-05,shiny
19,2016-08-06,shiny
15,2016-08-07,shiny
15,2016-08-08,shiny
16,2016-08-09,shiny
20,2016-08-10,shiny
14,2016-08-11,shiny
18,2016-08-12,shiny
15,2016-08-13,shiny
13,2016-08-14,shiny
14,2016-08-15,shiny
15,2016-08-16,shiny
19,2016-08-17,shiny
18,2016-08-18,shiny
13,2016-08-19,shiny
21,2016-08-20,shiny
13,2016-08-21,shiny
14,2016-08-22,shiny
17,2016-08-23,shiny
15,2016-08-24,shiny
15,2016-08-25,shiny
15,2016-08-26,shiny
17,2016-08-27,shiny
13,2016-08-28,shiny
17,2016-08-29,shiny
16,2016-08-30,shiny
16,2016-08-31,shiny
15,2016-09-01,shiny
17,2016-09-02,shiny
17,2016-09-03,shiny
14,2016-09-04,shiny
14,2016-09-05,shiny
15,2016-09-06,shiny
15,2016-09-07,shiny
17,2016-09-08,shiny
20,2016-09-09,shiny
14,2016-09-10,shiny
15,2016-09-11,shiny
11,2016-09-12,shiny
15,2016-09-13,shiny
12,2016-09-14,shiny
19,2016-09-15,shiny
27,2016-09-16,shiny
29,2016-09-17,shiny
27,2016-09-18,shiny
24,2016-09-19,shiny
23,2016-09-20,shiny
23,2016-09-21,shiny
26,2016-09-22,shiny
26,2016-09-23,shiny
30,2016-09-24,shiny
28,2016-09-25,shiny
28,2016-09-26,shiny
27,2016-09-27,shiny
30,2016-09-28,shiny
26,2016-09-29,shiny
27,2016-09-30,shiny
27,2016-10-01,shiny
25,2016-10-02,shiny
25,2016-10-03,shiny
23,2016-10-04,shiny
26,2016-10-05,shiny
26,2016-10-06,shiny
28,2016-10-07,shiny
27,2016-10-08,shiny
27,2016-10-09,shiny
20,2016-10-10,shiny
29,2016-10-11,shiny
29,2016-10-12,shiny
14,2016-10-13,shiny
1,2016-10-14,shiny
3,2016-10-15,shiny
3,2016-10-16,shiny
3,2016-10-17,shiny
3,2016-10-18,shiny
7,2016-10-19,shiny
2,2016-10-20,shiny
2,2016-10-21,shiny
3,2016-10-22,shiny
2,2016-10-23,shiny
2,2016-10-24,shiny
5,2016-10-25,shiny
6,2016-10-26,shiny
7,2016-10-27,shiny
3,2016-10-28,shiny
4,2016-10-29,shiny
3,2016-10-30,shiny
4,2016-10-31,shiny
3,2016-11-01,shiny
6,2016-11-02,shiny
5,2016-11-03,shiny
5,2016-11-04,shiny
3,2016-11-05,shiny
3,2016-11-06,shiny
1,2016-11-07,shiny
7,2016-11-08,shiny
5,2016-11-09,shiny
6,2016-11-10,shiny
4,2016-11-11,shiny
4,2016-11-12,shiny
3,2016-11-13,shiny
1,2016-11-14,shiny
3,2016-11-15,shiny
6,2016-11-16,shiny
7,2016-11-17,shiny
4,2016-11-18,shiny
3,2016-11-19,shiny
4,2016-11-20,shiny
8,2016-11-21,shiny
4,2016-11-22,shiny
4,2016-11-23,shiny
3,2016-11-24,shiny
2,2016-11-25,shiny
2,2016-11-26,shiny
2,2016-11-27,shiny
1,2016-11-28,shiny
6,2016-11-29,shiny
9,2016-11-30,shiny
4,2016-12-01,shiny
5,2016-12-02,shiny
3,2016-12-03,shiny
3,2016-12-04,shiny
1,2016-12-05,shiny
2,2016-12-06,shiny
7,2016-12-07,shiny
5,2016-12-08,shiny
6,2016-12-09,shiny
2,2016-12-10,shiny
5,2016-12-11,shiny
5,2016-12-12,shiny
5,2016-12-13,shiny
4,2016-12-14,shiny
5,2016-12-15,shiny
4,2016-12-16,shiny
1,2016-12-17,shiny
3,2016-12-18,shiny
2,2016-12-19,shiny
3,2016-12-20,shiny
5,2016-12-21,shiny
5,2016-12-22,shiny
2,2016-12-23,shiny
4,2016-12-24,shiny
1,2016-12-25,shiny
2,2016-12-26,shiny
1,2016-12-27,shiny
1,2016-12-28,shiny
3,2016-12-29,shiny
2,2016-12-30,shiny
1,2016-12-31,shiny
3,2017-01-01,shiny
1,2017-01-02,shiny
1,2017-01-03,shiny
1,2017-01-04,shiny
3,2017-01-05,shiny
4,2017-01-06,shiny
3,2017-01-07,shiny
3,2017-01-08,shiny
2,2017-01-09,shiny
7,2017-01-10,shiny
4,2017-01-11,shiny
6,2017-01-12,shiny
4,2017-01-13,shiny
6,2017-01-14,shiny
3,2017-01-15,shiny
5,2017-01-16,shiny
5,2017-01-17,shiny
6,2017-01-18,shiny
5,2017-01-19,shiny
8,2017-01-20,shiny
3,2017-01-21,shiny
3,2017-01-22,shiny
3,2017-01-23,shiny
5,2017-01-24,shiny
4,2017-01-25,shiny
7,2017-01-26,shiny
6,2017-01-27,shiny
3,2017-01-28,shiny
4,2017-01-29,shiny
4,2017-01-30,shiny
3,2017-01-31,shiny
7,2017-02-01,shiny
3,2017-02-02,shiny
7,2017-02-03,shiny
2,2017-02-04,shiny
4,2017-02-05,shiny
4,2017-02-06,shiny
5,2017-02-07,shiny
5,2017-02-08,shiny
6,2017-02-09,shiny
6,2017-02-10,shiny
7,2017-02-11,shiny
5,2017-02-12,shiny
3,2017-02-13,shiny
4,2017-02-14,shiny
5,2017-02-15,shiny
5,2017-02-16,shiny
4,2017-02-17,shiny
5,2017-02-18,shiny
7,2017-02-19,shiny
4,2017-02-20,shiny
5,2017-02-21,shiny
6,2017-02-22,shiny
4,2017-02-23,shiny
5,2017-02-24,shiny
3,2017-02-25,shiny
3,2017-02-26,shiny
5,2017-02-27,shiny
3,2017-02-28,shiny
3,2017-03-01,shiny
4,2017-03-02,shiny
5,2017-03-03,shiny
6,2017-03-04,shiny
5,2017-03-05,shiny
3,2017-03-07,shiny
2,2017-03-08,shiny
4,2017-03-09,shiny
4,2017-03-10,shiny
4,2017-03-11,shiny
3,2017-03-12,shiny
4,2017-03-13,shiny
4,2017-03-14,shiny
4,2017-03-15,shiny
1,2017-03-16,shiny
9,2017-03-17,shiny
2,2017-03-18,shiny
1,2017-03-19,shiny
6,2017-03-20,shiny
1,2017-03-21,shiny
6,2017-03-22,shiny
2,2017-03-23,shiny
4,2017-03-24,shiny
1,2017-03-25,shiny
5,2017-03-26,shiny
5,2017-03-27,shiny
4,2017-03-28,shiny
6,2017-03-29,shiny
3,2017-03-30,shiny
2,2017-03-31,shiny
3,2017-04-01,shiny
1,2017-04-02,shiny
1,2017-04-03,shiny
1,2017-04-05,shiny
5,2017-04-06,shiny
2,2017-04-07,shiny
3,2017-04-08,shiny
2,2017-04-09,shiny
2,2017-04-10,shiny
2,2017-04-11,shiny
2,2017-04-12,shiny
3,2017-04-13,shiny
8,2017-04-15,shiny
1,2017-04-16,shiny
4,2017-04-17,shiny
4,2017-04-18,shiny
1,2017-04-19,shiny
2,2017-04-20,shiny
1,2017-04-21,shiny
1,2017-04-22,shiny
3,2017-04-23,shiny
2,2017-04-24,shiny
181,2017-04-25,plotnine
2,2017-04-25,shiny
196,2017-04-26,plotnine
2,2017-04-26,shiny
35,2017-04-27,plotnine
3,2017-04-27,shiny
2,2017-04-28,shiny
14,2017-04-28,plotnine
2,2017-04-29,shiny
16,2017-04-29,plotnine
15,2017-04-30,plotnine
1,2017-05-01,shiny
10,2017-05-01,plotnine
10,2017-05-02,plotnine
1,2017-05-02,shiny
3,2017-05-03,shiny
12,2017-05-03,plotnine
4,2017-05-04,shiny
8,2017-05-04,plotnine
4,2017-05-05,plotnine
1,2017-05-05,shiny
7,2017-05-06,plotnine
1,2017-05-06,shiny
8,2017-05-07,plotnine
8,2017-05-08,plotnine
1,2017-05-08,shiny
8,2017-05-09,plotnine
1,2017-05-09,shiny
4,2017-05-10,shiny
8,2017-05-10,plotnine
3,2017-05-11,shiny
3,2017-05-11,plotnine
14,2017-05-12,plotnine
3,2017-05-12,shiny
11,2017-05-13,plotnine
3,2017-05-13,shiny
7,2017-05-14,plotnine
2,2017-05-14,shiny
6,2017-05-15,plotnine
1,2017-05-15,shiny
1,2017-05-16,shiny
4,2017-05-16,plotnine
15,2017-05-17,plotnine
3,2017-05-17,shiny
3,2017-05-18,shiny
337,2017-05-18,plotnine
2,2017-05-19,shiny
230,2017-05-19,plotnine
2,2017-05-20,shiny
55,2017-05-20,plotnine
23,2017-05-21,plotnine
1,2017-05-22,shiny
21,2017-05-22,plotnine
36,2017-05-23,plotnine
1,2017-05-23,shiny
2,2017-05-24,shiny
32,2017-05-24,plotnine
36,2017-05-25,plotnine
2,2017-05-25,shiny
2,2017-05-26,shiny
19,2017-05-26,plotnine
42,2017-05-27,plotnine
48,2017-05-28,plotnine
2,2017-05-29,shiny
32,2017-05-29,plotnine
2,2017-05-30,shiny
26,2017-05-30,plotnine
22,2017-05-31,plotnine
3,2017-05-31,shiny
9,2017-06-01,plotnine
1,2017-06-01,shiny
30,2017-06-02,plotnine
3,2017-06-02,shiny
13,2017-06-03,plotnine
1,2017-06-04,shiny
9,2017-06-04,plotnine
16,2017-06-05,plotnine
24,2017-06-06,plotnine
4,2017-06-06,shiny
2,2017-06-07,shiny
10,2017-06-07,plotnine
12,2017-06-08,plotnine
1,2017-06-08,shiny
23,2017-06-09,plotnine
5,2017-06-09,shiny
18,2017-06-10,plotnine
2,2017-06-10,shiny
12,2017-06-11,plotnine
2,2017-06-11,shiny
10,2017-06-12,plotnine
2,2017-06-12,shiny
4,2017-06-13,plotnine
1,2017-06-14,shiny
19,2017-06-14,plotnine
12,2017-06-15,plotnine
4,2017-06-15,shiny
5,2017-06-16,shiny
16,2017-06-16,plotnine
2,2017-06-17,shiny
20,2017-06-17,plotnine
1,2017-06-18,shiny
10,2017-06-18,plotnine
19,2017-06-19,plotnine
1,2017-06-19,shiny
6,2017-06-20,shiny
20,2017-06-20,plotnine
42,2017-06-21,plotnine
7,2017-06-21,shiny
382,2017-06-22,plotnine
5,2017-06-22,shiny
2,2017-06-23,shiny
226,2017-06-23,plotnine
3,2017-06-24,shiny
53,2017-06-24,plotnine
34,2017-06-25,plotnine
3,2017-06-25,shiny
2,2017-06-26,shiny
39,2017-06-26,plotnine
3,2017-06-27,shiny
40,2017-06-27,plotnine
45,2017-06-28,plotnine
6,2017-06-28,shiny
5,2017-06-29,shiny
25,2017-06-29,plotnine
2,2017-06-30,shiny
25,2017-06-30,plotnine
2,2017-07-01,plotnine
1,2017-07-02,shiny
18,2017-07-02,plotnine
25,2017-07-03,plotnine
19,2017-07-04,plotnine
2,2017-07-04,shiny
24,2017-07-05,plotnine
1,2017-07-05,shiny
24,2017-07-06,plotnine
2,2017-07-06,shiny
2,2017-07-07,shiny
27,2017-07-07,plotnine
51,2017-07-08,plotnine
6,2017-07-08,shiny
5,2017-07-09,shiny
9,2017-07-09,plotnine
27,2017-07-10,plotnine
2,2017-07-10,shiny
19,2017-07-11,plotnine
1,2017-07-11,shiny
2,2017-07-12,shiny
22,2017-07-12,plotnine
5,2017-07-13,shiny
38,2017-07-13,plotnine
21,2017-07-14,plotnine
4,2017-07-14,shiny
1,2017-07-15,shiny
20,2017-07-15,plotnine
13,2017-07-16,plotnine
1,2017-07-16,shiny
15,2017-07-17,plotnine
3,2017-07-17,shiny
2,2017-07-18,shiny
22,2017-07-18,plotnine
2,2017-07-19,shiny
10,2017-07-19,plotnine
11,2017-07-20,plotnine
22,2017-07-21,plotnine
2,2017-07-21,shiny
25,2017-07-22,plotnine
6,2017-07-23,plotnine
3,2017-07-23,shiny
1,2017-07-24,shiny
15,2017-07-24,plotnine
1,2017-07-25,shiny
39,2017-07-25,plotnine
1,2017-07-26,shiny
16,2017-07-26,plotnine
45,2017-07-27,plotnine
2,2017-07-27,shiny
14,2017-07-28,plotnine
3,2017-07-28,shiny
18,2017-07-29,plotnine
2,2017-07-29,shiny
1,2017-07-30,shiny
26,2017-07-30,plotnine
21,2017-07-31,plotnine
2,2017-07-31,shiny
2,2017-08-01,shiny
13,2017-08-01,plotnine
14,2017-08-02,plotnine
2,2017-08-02,shiny
12,2017-08-03,plotnine
3,2017-08-03,shiny
2,2017-08-04,shiny
9,2017-08-04,plotnine
1,2017-08-05,shiny
13,2017-08-05,plotnine
1,2017-08-06,shiny
19,2017-08-06,plotnine
14,2017-08-07,plotnine
1,2017-08-08,shiny
8,2017-08-08,plotnine
1,2017-08-09,shiny
7,2017-08-09,plotnine
29,2017-08-10,plotnine
2,2017-08-10,shiny
5,2017-08-11,plotnine
32,2017-08-12,plotnine
2,2017-08-12,shiny
14,2017-08-13,plotnine
9,2017-08-14,plotnine
1,2017-08-14,shiny
2,2017-08-15,shiny
16,2017-08-15,plotnine
1,2017-08-16,shiny
21,2017-08-16,plotnine
41,2017-08-17,plotnine
4,2017-08-17,shiny
3,2017-08-18,shiny
34,2017-08-18,plotnine
3,2017-08-19,shiny
28,2017-08-19,plotnine
5,2017-08-20,shiny
34,2017-08-20,plotnine
6,2017-08-21,shiny
52,2017-08-21,plotnine
2,2017-08-22,shiny
44,2017-08-22,plotnine
44,2017-08-23,plotnine
3,2017-08-24,shiny
46,2017-08-24,plotnine
31,2017-08-25,plotnine
3,2017-08-25,shiny
1,2017-08-26,shiny
52,2017-08-26,plotnine
43,2017-08-27,plotnine
3,2017-08-27,shiny
1,2017-08-28,shiny
21,2017-08-28,plotnine
59,2017-08-29,plotnine
5,2017-08-29,shiny
3,2017-08-30,shiny
71,2017-08-30,plotnine
80,2017-08-31,plotnine
3,2017-08-31,shiny
37,2017-09-01,plotnine
5,2017-09-01,shiny
2,2017-09-02,shiny
35,2017-09-02,plotnine
3,2017-09-03,shiny
8,2017-09-03,plotnine
4,2017-09-04,shiny
34,2017-09-04,plotnine
1,2017-09-05,shiny
48,2017-09-05,plotnine
27,2017-09-06,plotnine
6,2017-09-06,shiny
50,2017-09-07,plotnine
1,2017-09-07,shiny
1,2017-09-08,shiny
20,2017-09-08,plotnine
2,2017-09-09,shiny
48,2017-09-09,plotnine
5,2017-09-10,shiny
60,2017-09-10,plotnine
73,2017-09-11,plotnine
3,2017-09-11,shiny
60,2017-09-12,plotnine
2,2017-09-12,shiny
30,2017-09-13,plotnine
2,2017-09-13,shiny
2,2017-09-14,shiny
82,2017-09-14,plotnine
2,2017-09-15,shiny
76,2017-09-15,plotnine
1,2017-09-16,shiny
85,2017-09-16,plotnine
4,2017-09-17,shiny
26,2017-09-17,plotnine
81,2017-09-18,plotnine
5,2017-09-18,shiny
40,2017-09-19,plotnine
1,2017-09-19,shiny
2,2017-09-20,shiny
39,2017-09-20,plotnine
7,2017-09-21,shiny
45,2017-09-21,plotnine
2,2017-09-22,shiny
24,2017-09-22,plotnine
24,2017-09-23,plotnine
2,2017-09-23,shiny
2,2017-09-24,shiny
23,2017-09-24,plotnine
28,2017-09-25,plotnine
79,2017-09-26,plotnine
1,2017-09-26,shiny
1,2017-09-27,shiny
38,2017-09-27,plotnine
5,2017-09-28,shiny
51,2017-09-28,plotnine
87,2017-09-29,plotnine
1,2017-09-29,shiny
63,2017-09-30,plotnine
4,2017-09-30,shiny
3,2017-10-01,shiny
26,2017-10-01,plotnine
38,2017-10-02,plotnine
3,2017-10-02,shiny
4,2017-10-03,shiny
29,2017-10-03,plotnine
5,2017-10-04,shiny
51,2017-10-04,plotnine
4,2017-10-05,shiny
31,2017-10-05,plotnine
1,2017-10-06,shiny
42,2017-10-06,plotnine
55,2017-10-07,plotnine
1,2017-10-07,shiny
59,2017-10-08,plotnine
6,2017-10-09,shiny
41,2017-10-09,plotnine
41,2017-10-10,plotnine
22,2017-10-10,shiny
40,2017-10-11,plotnine
1,2017-10-11,shiny
27,2017-10-12,plotnine
66,2017-10-13,plotnine
5,2017-10-13,shiny
38,2017-10-14,plotnine
4,2017-10-14,shiny
3,2017-10-15,shiny
71,2017-10-15,plotnine
29,2017-10-16,plotnine
1,2017-10-16,shiny
44,2017-10-17,plotnine
2,2017-10-17,shiny
4,2017-10-18,shiny
36,2017-10-18,plotnine
43,2017-10-19,plotnine
1,2017-10-19,shiny
2,2017-10-20,shiny
46,2017-10-20,plotnine
2,2017-10-21,shiny
72,2017-10-21,plotnine
4,2017-10-22,shiny
47,2017-10-22,plotnine
3,2017-10-23,shiny
57,2017-10-23,plotnine
50,2017-10-24,plotnine
2,2017-10-24,shiny
6,2017-10-25,shiny
18,2017-10-25,plotnine
6,2017-10-26,shiny
44,2017-10-26,plotnine
6,2017-10-27,shiny
59,2017-10-27,plotnine
40,2017-10-28,plotnine
1,2017-10-28,shiny
2,2017-10-29,shiny
39,2017-10-29,plotnine
3,2017-10-30,shiny
43,2017-10-30,plotnine
64,2017-10-31,plotnine
2,2017-10-31,shiny
50,2017-11-01,plotnine
1,2017-11-01,shiny
8,2017-11-02,shiny
72,2017-11-02,plotnine
111,2017-11-03,plotnine
3,2017-11-03,shiny
2,2017-11-04,shiny
67,2017-11-04,plotnine
2,2017-11-05,shiny
73,2017-11-05,plotnine
60,2017-11-06,plotnine
2,2017-11-06,shiny
117,2017-11-07,plotnine
4,2017-11-07,shiny
216,2017-11-08,plotnine
12,2017-11-08,shiny
257,2017-11-09,plotnine
15,2017-11-09,shiny
4,2017-11-10,shiny
77,2017-11-10,plotnine
101,2017-11-11,plotnine
3,2017-11-11,shiny
2,2017-11-12,shiny
94,2017-11-12,plotnine
82,2017-11-13,plotnine
6,2017-11-13,shiny
4,2017-11-14,shiny
54,2017-11-14,plotnine
1,2017-11-15,shiny
61,2017-11-15,plotnine
41,2017-11-16,plotnine
3,2017-11-16,shiny
46,2017-11-17,plotnine
4,2017-11-17,shiny
67,2017-11-18,plotnine
2,2017-11-18,shiny
62,2017-11-19,plotnine
1,2017-11-19,shiny
2,2017-11-20,shiny
44,2017-11-20,plotnine
1,2017-11-21,shiny
53,2017-11-21,plotnine
1,2017-11-22,shiny
52,2017-11-22,plotnine
4,2017-11-23,shiny
53,2017-11-23,plotnine
4,2017-11-24,shiny
60,2017-11-24,plotnine
35,2017-11-25,plotnine
3,2017-11-25,shiny
2,2017-11-26,shiny
96,2017-11-26,plotnine
46,2017-11-27,plotnine
6,2017-11-27,shiny
48,2017-11-28,plotnine
4,2017-11-28,shiny
58,2017-11-29,plotnine
2,2017-11-29,shiny
2,2017-11-30,shiny
56,2017-11-30,plotnine
1,2017-12-01,shiny
51,2017-12-01,plotnine
2,2017-12-02,shiny
59,2017-12-02,plotnine
1,2017-12-03,shiny
49,2017-12-03,plotnine
81,2017-12-04,plotnine
7,2017-12-04,shiny
5,2017-12-05,shiny
52,2017-12-05,plotnine
45,2017-12-06,plotnine
6,2017-12-06,shiny
2,2017-12-07,shiny
69,2017-12-07,plotnine
60,2017-12-08,plotnine
3,2017-12-08,shiny
3,2017-12-09,shiny
41,2017-12-09,plotnine
3,2017-12-10,shiny
67,2017-12-10,plotnine
3,2017-12-11,shiny
56,2017-12-11,plotnine
2,2017-12-12,shiny
53,2017-12-12,plotnine
9,2017-12-13,shiny
36,2017-12-13,plotnine
54,2017-12-14,plotnine
8,2017-12-14,shiny
3,2017-12-15,shiny
46,2017-12-15,plotnine
4,2017-12-16,shiny
57,2017-12-16,plotnine
1,2017-12-17,shiny
55,2017-12-17,plotnine
2,2017-12-18,shiny
63,2017-12-18,plotnine
76,2017-12-19,plotnine
5,2017-12-19,shiny
4,2017-12-20,shiny
83,2017-12-20,plotnine
4,2017-12-21,shiny
57,2017-12-21,plotnine
4,2017-12-22,shiny
70,2017-12-22,plotnine
54,2017-12-23,plotnine
3,2017-12-23,shiny
76,2017-12-24,plotnine
3,2017-12-24,shiny
4,2017-12-25,shiny
53,2017-12-25,plotnine
2,2017-12-26,shiny
54,2017-12-26,plotnine
49,2017-12-27,plotnine
6,2017-12-27,shiny
51,2017-12-28,plotnine
2,2017-12-28,shiny
3,2017-12-29,shiny
64,2017-12-29,plotnine
4,2017-12-30,shiny
59,2017-12-30,plotnine
77,2017-12-31,plotnine
1,2017-12-31,shiny
73,2018-01-01,plotnine
1,2018-01-02,shiny
113,2018-01-02,plotnine
2,2018-01-03,shiny
115,2018-01-03,plotnine
3,2018-01-04,shiny
134,2018-01-04,plotnine
